epoch,train_loss,val_loss,class_0_dice,class_1_dice,class_2_dice,class_3_dice,WT_dice,TC_dice,ET_dice,mean_tumor_dice,learning_rate
1,1.7178184642005212,1.2231641034690701,0.9927488590024182,0.3889216071513203,0.09313459424575019,0.14409667345906427,0.548504772221612,0.2096346136201749,0.14409667345906427,0.3007453531002837,0.0001
2,1.1012572126904714,0.8901734607560294,0.9981491479677024,0.5508717204799357,0.11917736199408405,0.3893587799387571,0.7879470843322498,0.37472387266671764,0.3893587799387571,0.5173432456459083,0.0001
3,0.8912523284400862,0.7851618285081825,0.9974907243374697,0.555844703670015,0.05389339370129764,0.42163794974498836,0.7514866449169277,0.3624230080038746,0.42163794974498836,0.511849200888597,0.0001
4,0.8064850922097865,0.7180702430861337,0.9981954232933595,0.6113290180711403,0.049239851532566374,0.5344604345172951,0.7939231520153812,0.49679787669177217,0.5344604345172951,0.6083938210748161,0.0001
5,0.7545358080839374,0.6675275977776975,0.998107881275649,0.6228372415470094,0.08449181376598756,0.6010120731307981,0.7865982502698898,0.5822723174480284,0.6010120731307981,0.6566275469495721,0.0001
6,0.7204121145390973,0.6268466978657002,0.9985375588702172,0.6555936820421022,0.13447033576715314,0.6083527947487982,0.8206842495608575,0.5956273535554556,0.6083527947487982,0.6748881326217039,0.0001
7,0.6942599277520917,0.5822700006621224,0.9984962915636829,0.6762513896239173,0.23989287787717142,0.6230358606415618,0.8267793517137311,0.6941367524493601,0.6230358606415618,0.7146506549348843,0.0001
8,0.6676557844447106,0.5542570906026023,0.9982725252810213,0.6563128965724375,0.25846035127706835,0.643460665800676,0.802617475236814,0.66271325898808,0.643460665800676,0.70293046667519,0.0001
9,0.6429561603929579,0.5167048062597003,0.9982729511162669,0.6705456700214406,0.3658687636525053,0.6437026892318246,0.8139023992818656,0.6920824025555984,0.6437026892318246,0.7165624970230962,0.0001
10,0.6329177450580695,0.48567304805833467,0.9984444619454059,0.678963004774654,0.423839053750271,0.6611906301959888,0.8242369137473942,0.7124420003581446,0.6611906301959888,0.7326231814338425,0.0001
11,0.6161496946492147,0.460634494922599,0.9985465690032723,0.686733508540183,0.4426820716553922,0.6447229666596989,0.8337607254687044,0.7150948340668506,0.6447229666596989,0.7311928420650845,0.0001
12,0.5929551883456633,0.46784789464911636,0.9986325754332788,0.6951516391997484,0.31850286915516673,0.6538481436593017,0.8324165242848937,0.6388504505985579,0.6538481436593017,0.7083717061809178,0.0001
13,0.6054275959115667,0.409614841548764,0.9987630131318397,0.7029224345364522,0.4670074382969706,0.6892438126516711,0.8519366574041622,0.7426751586656595,0.6892438126516711,0.7612852095738308,0.0001
14,0.5846136839119429,0.39392073969451746,0.998656529126708,0.7051050997886461,0.45810401250761884,0.6864907337357434,0.8432717857901583,0.7379767432732066,0.6864907337357434,0.7559130875997028,0.0001
15,0.5646450195423106,0.4166416823863983,0.9975508205669442,0.5958837852957323,0.4642835162830846,0.6547747600017134,0.7655998062841671,0.7043476330173999,0.6547747600017134,0.7082407331010935,0.0001
16,0.5735260553888439,0.36990803297685115,0.9987578465766513,0.7059041923776115,0.4843710143462342,0.6868680457670971,0.8527244799530384,0.7489956562820169,0.6868680457670971,0.7628627273340508,0.0001
17,0.5562645582501421,0.3597246879825787,0.998738550033766,0.7044585405551281,0.49368519237212183,0.6879988993738884,0.8566903899010924,0.743570038722348,0.6879988993738884,0.762753109332443,0.0001
18,0.5603026735413935,0.3533906139889542,0.9987617122758295,0.7061465044611508,0.4737839171850151,0.7105712825336408,0.8450344284785163,0.7351675479836071,0.7105712825336408,0.7635910863319214,0.0001
19,0.5561343177999418,0.35386121029756507,0.9986526302455627,0.6805386610866822,0.48156908067476156,0.7020435475446668,0.8476336263504225,0.7354300956136173,0.7020435475446668,0.7617024231695688,0.0001
20,0.5373002823787866,0.34732306490139087,0.9983775296162084,0.6935546298309699,0.49000062813655926,0.6871234702388036,0.8221191001921585,0.7273359983276153,0.6871234702388036,0.7455261895861924,0.0001
