Metric,Mean Dice,Std,Min,Max
Background,0.9987617140410403,0.0007232562623290822,0.9964012088928615,0.9998229671016385
Edema,0.7061466235688821,0.1400996577270652,0.2465982135403623,0.9095950056512604
Non-enhancing tumor,0.47378286295058025,0.2449841110191705,0.0,0.953720879809198
Enhancing tumor,0.7105700267280959,0.23750987703981186,0.0,0.9347833628195789
Whole Tumor (WT),0.8450341132744562,0.1106446619659624,0.3540221984109334,0.9678554809149376
Tumor Core (TC),0.7351660470299537,0.20281687766604664,0.07692307692307693,0.9689513148167705
Enhancing Tumor (ET),0.7105700267280959,0.23750987703981186,0.0,0.9347833628195789
Mean Tumor Dice,0.6301665044158528,0.14357027225075805,0.14258604330199257,0.8690340270400636
